Date,Value,Category,Description,Status
2023-01-01,100.25,Sales,Q1 Revenue Report,Completed
2023-01-02,85.75,Marketing,Campaign Expenses,Completed
2023-01-03,120.50,Operations,Equipment Maintenance,In Progress
2023-01-04,200.00,Sales,Product Launch Revenue,Completed
2023-01-05,45.25,HR,Training Materials,Pending
2023-02-01,175.80,Sales,Q1 Revenue Report,Completed
2023-02-02,90.25,Marketing,Social Media Campaign,In Progress
2023-02-03,110.75,Operations,Facility Maintenance,Completed
2023-02-04,155.50,Sales,New Client Contract,Completed
2023-02-05,65.20,HR,Recruitment Expenses,Pending
2023-03-01,220.30,Sales,Q1 Final Revenue,Completed
2023-03-02,95.75,Marketing,Print Materials,Completed
2023-03-03,130.00,Operations,Software Licenses,In Progress
2023-03-04,180.25,Sales,Subscription Renewals,Completed
2023-03-05,75.50,HR,Benefits Administration,Pending
2023-04-01,190.45,Sales,Q2 Revenue Report,Completed
2023-04-02,105.30,Marketing,Email Campaign,In Progress
2023-04-03,140.75,Operations,Equipment Purchase,Completed
2023-04-04,210.25,Sales,Product Upgrade Revenue,Completed
2023-04-05,80.90,HR,Employee Wellness Program,Pending 